,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2020 Renault Triber RXT,2020,Petrol,"57,778 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.86 Lakh
1,2013 Toyota Corolla Altis G,2013,Petrol,"1,06,188 Kms",1798 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.20 Lakh
2,2017 Maruti Alto 800 LXI,2017,Petrol,"37,258 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.50 Lakh
3,2017 Jeep Compass 2.0 Limited Option,2017,Diesel,"64,011 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.50 Lakh
4,2013 Hyundai Grand i10 Asta,2013,Petrol,"35,315 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.60 Lakh
5,2019 Maruti Baleno Delta,2019,Petrol,"57,778 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.16 Lakh
6,2020 Renault Triber RXT,2020,Petrol,"1,06,188 Kms",1798 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.86 Lakh
7,2013 Toyota Corolla Altis G,2013,Petrol,"37,258 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.20 Lakh
8,2017 Maruti Alto 800 LXI,2017,Petrol,"64,011 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.50 Lakh
9,2017 Jeep Compass 2.0 Limited Option,2017,Diesel,"35,315 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.50 Lakh
10,2013 Hyundai Grand i10 Asta,2013,Petrol,"70,012 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.60 Lakh
11,2019 Maruti Baleno Delta,2019,Petrol,"86,844 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.16 Lakh
12,2016 Maruti SX4 S Cross DDiS 200 Zeta,2016,Diesel,"45,695 Kms",1373 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6 Lakh
13,2017 Maruti Ciaz 1.4 Alpha,2017,Petrol,"41,487 Kms",1373 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.79 Lakh
14,2017 Maruti Ciaz 1.4 Zeta,2017,Petrol,"66,152 Kms",1373 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
15,2016 Maruti Ciaz ZXi Plus,2016,Petrol,"52,933 Kms",1497 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.38 Lakh
16,2017 Honda City i-VTEC CVT ZX,2017,Petrol,"36,105 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.14 Lakh
17,2016 Hyundai Creta 1.6 VTVT E Plus,2016,Petrol,"19,536 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.79 Lakh
18,2019 Hyundai Verna VTVT 1.6 SX,2019,Petrol,"68,068 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.42 Lakh
19,2017 Hyundai Verna 1.6 CRDi S,2017,Diesel,"27,286 Kms",1373 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.53 Lakh
20,2016 Maruti Ciaz VXi,2016,Petrol,"24,812 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.52 Lakh
21,2020 Maruti Swift Dzire VXI 1.2,2020,Petrol,"76,893 Kms",1047 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.84 Lakh
22,2018 Tata Tigor 1.05 Revotorq XM,2018,Diesel,"31,119 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.59 Lakh
23,2020 Hyundai Venue SX Opt Turbo,2020,Petrol,"5,644 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.23 Lakh
24,2018 Honda Jazz 1.2 V i VTEC,2018,Petrol,"1,19,501 Kms",1498 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.25 Lakh
25,2015 Honda City i DTEC VX,2015,Diesel,"78,529 Kms",1497 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.75 Lakh
26,2013 Honda City S,2013,Petrol,"50,514 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.35 Lakh
27,2018 Maruti Ciaz Alpha BSIV,2018,Petrol,"76,759 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.50 Lakh
28,2017 Skoda Rapid 1.5 TDI Style BSIV,2017,Diesel,"41,757 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.85 Lakh
29,2019 Honda WR-V i-DTEC VX,2019,Diesel,"85,951 Kms",1598 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.90 Lakh
30,2015 Maruti SX4 S Cross DDiS 320 Delta,2015,Diesel,"41,922 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.78 Lakh
31,2012 Hyundai Verna 1.6 EX VTVT,2012,Petrol,"48,848 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.48 Lakh
32,2017 Mahindra XUV500 W6 2WD,2017,Diesel,"66,462 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.22 Lakh
33,2014 Maruti Swift VVT VXI,2014,Petrol,"22,450 Kms",1497 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.83 Lakh
34,2021 Mahindra XUV300 W8 AMT Optional Diesel,2021,Diesel,"52,068 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.13 Lakh
35,2017 Maruti SX4 S Cross DDiS 200 Zeta,2017,Diesel,"33,193 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.65 Lakh
36,2017 Honda City i-VTEC V,2017,Petrol,"20,089 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.23 Lakh
37,2017 Hyundai Grand i10 Magna,2017,Petrol,"20,496 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.68 Lakh
38,2018 Hyundai Creta 1.6 VTVT E,2018,Petrol,"27,125 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.65 Lakh
39,2021 Tata Tigor XE,2021,Petrol,"15,993 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.63 Lakh
40,2015 Maruti Wagon R LXI BS IV,2015,Petrol,"52,492 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.48 Lakh
41,2018 Maruti Celerio VXI MT BSIV,2018,Petrol,"60,830 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.99 Lakh
42,2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Diesel,"65,440 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.99 Lakh
43,2017 Honda City i-VTEC SV,2017,Petrol,"29,160 Kms",1591 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.03 Lakh
44,2016 Hyundai Verna 1.6 VTVT SX,2016,Petrol,"55,428 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.06 Lakh
45,2015 Honda City i VTEC V,2015,Petrol,"35,791 Kms",1598 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.43 Lakh
46,2014 Volkswagen Vento Petrol Comfortline,2014,Petrol,"42,788 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.65 Lakh
47,2014 Honda City i VTEC V,2014,Petrol,"54,655 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.88 Lakh
48,2016 Honda Jazz 1.2 S i VTEC,2016,Petrol,"1,06,544 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.18 Lakh
49,2015 Hyundai Verna 1.6 VTVT S,2015,Petrol,"64,528 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.80 Lakh
50,2017 Volkswagen Ameo 1.2 MPI Highline Plus,2017,Petrol,"51,437 Kms",998 cc,First Owner,Manual,Power Steering,None,Fabric Upholstery,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.93 Lakh
51,2012 Maruti Zen Estilo LXI BS IV,2012,Petrol,"56,368 Kms",1197 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.03 Lakh
52,2014 Volkswagen Vento TSI,2014,Petrol,"37,685 Kms",1396 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.61 Lakh
53,2014 Hyundai Verna 1.4 VTVT,2014,Petrol,"58,135 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.99 Lakh
54,2017 Hyundai Grand i10 1.2 Kappa Sportz Option,2017,Petrol,"22,673 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.50 Lakh
55,2018 Maruti Alto 800 LXI,2018,Petrol,"80,863 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.98 Lakh
56,2014 Maruti Ritz VXi,2014,Petrol,"26,005 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.40 Lakh
57,2019 Hyundai Grand i10 Magna,2019,Petrol,"71,009 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.95 Lakh
58,2017 Hyundai Creta 1.6 VTVT S,2017,Petrol,"17,009 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.11 Lakh
59,2017 Honda Jazz 1.2 SV i VTEC,2017,Petrol,"64,000 Kms",1086 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.75 Lakh
60,2014 Hyundai i10 Sportz 1.1L,2014,Petrol,"85,002 Kms",2523 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.50 Lakh
61,2015 Mahindra Bolero ZLX,2015,Diesel,"28,009 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.75 Lakh
62,2016 Mahindra XUV500 W10 2WD,2016,Diesel,"38,008 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.01 Lakh
63,2016 Maruti Swift VXI,2016,Petrol,"19,000 Kms",2354 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.05 Lakh
64,2017 Honda CR-V 2.4L 4WD AT,2017,Petrol,"53,000 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.45 Lakh
65,2017 Honda City i VTEC V,2017,Petrol,"7,511 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
66,2021 Mercedes-Benz E-Class Exclusive E 220d,2021,Diesel,"45,000 Kms",1582 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 54.99 Lakh
67,2017 Hyundai Creta 1.6 SX Automatic Diesel,2017,Diesel,"65,000 Kms",1461 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.25 Lakh
68,2015 Renault Duster 110PS Diesel RxL,2015,Diesel,"43,009 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 5.50 Lakh
69,2014 Hyundai i10 Sportz,2014,Petrol,"24,249 Kms",1493 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.70 Lakh
70,2020 Kia Seltos GTX Plus AT D,2020,Diesel,"26,291 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 15.49 Lakh
71,2018 Hyundai i20 1.2 Magna Executive,2018,Petrol,First Owner,2016,Manual,None,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.45 Lakh
72,2016 Honda Amaze S i-DTEC,-,5 Seats,"60,076 Kms",1399 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4 Lakh
73,2014 Ford Figo Diesel EXI,2014,Diesel,"78,876 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.35 Lakh
74,2015 Hyundai i20 Sportz 1.2,2015,Petrol,"1,12,205 Kms",2179 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.47 Lakh
75,2013 Mahindra XUV500 W6 2WD,2013,Diesel,"34,373 Kms",998 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.36 Lakh
76,2014 Maruti Celerio VXI,2014,Petrol,"72,886 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.67 Lakh
77,2018 Honda City i-DTEC ZX,2018,Diesel,"62,000 Kms",1120 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.42 Lakh
78,2013 Hyundai Grand i10 CRDi Magna,2013,Diesel,"20,000 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.69 Lakh
79,2013 Hyundai Verna 1.6 SX CRDi (O),2013,Diesel,"1,200 Kms",1196 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4 Lakh
80,2019 Ford Aspire 1.2 Ti-VCT Titanium,2019,Petrol,"30,300 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6 Lakh
81,2018 Hyundai Creta 1.6 SX Dual Tone,2018,Petrol,"38,700 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.24 Lakh
82,2021 Jeep Compass 2.0 Limited Opt Diesel,2021,Diesel,"36,500 Kms",1996 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 24.50 Lakh
83,2020 Ford Endeavour Titanium Plus 4X4 AT,2020,Diesel,"75,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 32 Lakh
84,2018 Maruti Vitara Brezza VDi,2018,Diesel,"75,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.65 Lakh
85,2015 Maruti Ciaz ZDi Plus,2015,Diesel,"21,352 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.95 Lakh
86,2017 Honda WR-V i-VTEC VX,2017,Petrol,"30,687 Kms",1995 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.99 Lakh
87,2015 BMW 3 Series 320d Luxury Line,2015,Diesel,"34,000 Kms",1968 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 19.90 Lakh
88,2014 Audi A6 2.0 TDI Premium Plus,2014,Diesel,"43,000 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 16.50 Lakh
89,2017 Honda Amaze E Diesel,2017,Diesel,"36,000 Kms",1798 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.75 Lakh
90,2016 Toyota Corolla Altis 1.8 G,2016,Petrol,"60,021 Kms",2179 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.25 Lakh
91,2016 Mahindra XUV500 W10 2WD,2016,Diesel,"40,000 Kms",1995 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.39 Lakh
92,2011 BMW 3 Series 320d Highline,2011,Diesel,"45,000 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Fog Lights Rear,-,-,-,-,-,-,-,-,₹ 10.50 Lakh
93,2013 Hyundai i20 Magna Optional 1.2,2013,Petrol,"41,000 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.50 Lakh
94,2015 Honda City i DTEC VX,2015,Diesel,"54,000 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.80 Lakh
95,2016 Hyundai Xcent 1.2 VTVT S,2016,Petrol,"38,002 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.70 Lakh
96,2016 Hyundai i20 Sportz 1.2,2016,Petrol,"54,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.25 Lakh
97,2015 Maruti Ertiga SHVS ZDI,2015,Diesel,"59,004 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.75 Lakh
98,2015 Maruti Wagon R VXI,2015,Petrol,"52,008 Kms",1198 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.91 Lakh
99,2013 Volkswagen Polo 1.2 MPI Comfortline,2013,Petrol,"73,310 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.75 Lakh
